"date","close","volume","open","high","low"
"2015/08/10","18.8200","900096.0000","18.0000","19.5100","18.0000"
"2015/08/07","17.7700","896789.0000","20.0400","20.1700","16.5900"
"2015/08/06","20.0400","786050.0000","20.7300","21.2800","19.4700"
"2015/08/05","20.7500","2802645.0000","21.0000","25.2700","20.3100"
"2015/08/04","19.8900","8168756.0000","32.7900","32.8600","15.0900"
"2015/08/03","32.7900","1391373.0000","37.8000","37.8000","32.0432"
"2015/07/31","38.0100","525575.0000","37.4300","38.2300","37.4300"
"2015/07/30","37.4900","1065299.0000","39.0700","40.2800","37.0000"
"2015/07/29","39.0700","198341.0000","39.5500","40.2700","38.4100"
"2015/07/28","39.6000","148600.0000","38.9700","39.8200","37.8000"
"2015/07/27","39.0900","372503.0000","38.2700","39.2200","37.9100"
"2015/07/24","38.8600","256674.0000","38.5300","39.1000","37.6000"
"2015/07/23","38.8100","253017.0000","38.7400","39.2700","38.2201"
"2015/07/22","38.6400","330927.0000","38.9900","39.4899","38.2000"
"2015/07/21","38.9800","721961.0000","41.3000","41.3000","37.6900"
"2015/07/20","40.9800","160213.0000","42.0500","42.5700","40.6700"
"2015/07/17","41.8400","282904.0000","43.4900","43.8255","40.6000"
"2015/07/16","43.3200","226756.0000","42.8300","43.8200","42.1101"
"2015/07/15","42.8300","186544.0000","43.3700","43.9500","42.7200"
"2015/07/14","43.4600","145020.0000","43.4700","43.8450","42.7500"
"2015/07/13","43.7000","219288.0000","42.6100","44.1700","42.3700"
"2015/07/10","42.4100","165524.0000","44.0900","44.2000","41.7000"
"2015/07/09","43.6100","183394.0000","42.1500","44.2300","41.5700"
"2015/07/08","40.8800","293934.0000","42.6100","43.1100","39.5864"
"2015/07/07","43.1900","293357.0000","45.3500","45.3500","42.7000"
"2015/07/06","44.7000","353764.0000","44.2200","46.6000","44.0300"
"2015/07/02","44.7500","157803.0000","43.1700","45.0000","43.0000"
"2015/07/01","42.9400","131669.0000","43.8600","44.5000","41.7700"
"2015/06/30","43.5600","115658.0000","43.3500","43.8650","42.6800"
"2015/06/29","43.0700","102877.0000","42.1700","43.9000","41.8000"
"2015/06/26","43.1700","304473.0000","43.4300","43.4820","42.3328"
"2015/06/25","43.4300","159551.0000","43.1400","43.7599","42.7100"
"2015/06/24","43.0000","257737.0000","44.5000","44.6387","42.9400"
"2015/06/23","44.1600","235213.0000","44.1700","45.2400","43.8800"
"2015/06/22","44.2200","134174.0000","44.3900","44.8900","43.8700"
"2015/06/19","44.2800","165377.0000","43.5800","44.4000","43.2717"
"2015/06/18","43.6100","155679.0000","43.4200","43.8500","43.2500"
"2015/06/17","43.3200","209708.0000","43.6500","43.9999","42.4600"
"2015/06/16","43.4300","139486.0000","42.5300","43.5000","41.9800"
"2015/06/15","42.6100","319096.0000","42.8800","43.0000","41.7740"
"2015/06/12","43.1700","82673.0000","43.3200","43.6200","41.8800"
"2015/06/11","43.5200","269383.0000","43.5800","45.4799","42.8800"
"2015/06/10","43.3900","343394.0000","39.4500","43.7450","39.3300"
"2015/06/09","39.1600","258125.0000","42.2400","42.2400","37.5400"
"2015/06/08","41.7500","224724.0000","41.9000","43.2499","41.3500"
"2015/06/05","41.8700","189530.0000","41.3500","42.2104","41.2600"
"2015/06/04","41.6700","256370.0000","41.3400","42.0800","40.9800"
"2015/06/03","41.4800","543989.0000","39.1700","42.1200","39.1700"
"2015/06/02","38.9100","82981.0000","38.9000","39.6200","38.4300"
"2015/06/01","39.0400","128711.0000","38.8600","39.5900","38.7300"
"2015/05/29","38.8600","185046.0000","38.5300","38.8800","37.8200"
"2015/05/28","38.5500","70207.0000","38.5600","39.0000","38.3100"
"2015/05/27","38.7300","110503.0000","38.6000","39.1776","38.3260"
"2015/05/26","38.3100","102443.0000","39.4000","39.7500","37.7400"
"2015/05/22","39.3500","275160.0000","38.1800","39.9750","37.5200"
"2015/05/21","37.9500","559037.0000","35.8500","38.1500","35.6000"
"2015/05/20","35.6900","233457.0000","36.0000","36.4300","35.6200"
"2015/05/19","35.9800","213771.0000","37.7900","37.8600","35.8500"
"2015/05/18","37.6500","783775.0000","37.1200","39.0499","36.7122"
"2015/05/15","37.0100","250912.0000","36.4600","37.4648","36.1200"
"2015/05/14","36.3800","291750.0000","34.6100","36.8300","34.2500"
"2015/05/13","34.1900","210198.0000","34.0900","35.0000","33.8000"
"2015/05/12","33.6000","190637.0000","32.5600","33.8885","32.4016"
"2015/05/11","32.7900","128841.0000","31.8100","33.4600","31.7300"
"2015/05/08","31.6800","86159.0000","31.3900","31.7200","30.8800"
"2015/05/07","30.9800","115302.0000","30.6900","31.5600","30.0000"
"2015/05/06","31.0200","159523.0000","32.1500","32.1500","30.6100"
"2015/05/05","32.0000","130787.0000","34.1000","34.2000","31.9100"
"2015/05/04","34.2100","161861.0000","34.7300","34.8400","32.9800"
"2015/05/01","34.4300","182544.0000","34.8100","34.8100","32.5000"
"2015/04/30","34.6600","721994.0000","34.7500","35.4000","33.1900"
"2015/04/29","31.3100","205740.0000","31.6600","32.0100","30.4000"
